ivType,securityIdentifier,securityName,finalMaturityDate,securityRedemptionPrice,interestRt,ioHybridField,as400RateType,prospectiveMethod,defIndicator,securityPrice,fxRate,portfolioNumber,portfolioName,reportDate, earnedInflationaryCompensationBase , accruedIncome , marketValue , shareParAmount , earnedAmortizationBase , positionValInflationAdjShares ,derRedemptionDate,derRedemptionPrice,derCleanPrice,derSecurityType,derTIPSInflationaryRatio,derStepIndicator,derHybridIndicator,deryieldCalcEngine, derincomeCalcEngine ,derOneDaySecurityYield,derOneDaySecurityIncome
VPS,912810FH6,USTN TII 3.875% 4/15/29,2029-04-15,100,3.875,,F,,N,208.2544591,1,30,FUND 30,2014-12-01,-498.2400,30717.3300,8646725.1400,4152000.0000,-287.4000,6011348.6400,2029-04-15,100,143.8400209,TIPS,1.44782,F,F,YTM,TIPS INCOME ENGINE,0.0067,-336.6800
VPS,912810FR4,USTN TII 2.375% 1/15/25,2025-01-15,100,2.375,,F,,N,149.7984637,1,30,FUND 30,2014-12-01,-1022.8900,106089.7400,13929759.1400,9299000.0000,-34.1300,11741661.3200,2025-01-15,100,118.6353341,TIPS,1.26268,F,F,YTM,TIPS INCOME ENGINE,0.0049,-833.3900
VPS,912810FS2,USTN TII 2% 1/15/26,2026-01-15,100,2,,F,,N,138.6772607,1,30,FUND 30,2014-12-01,-970.8000,88578.4300,13462788.4700,9708000.0000,-116.6300,11641736.5200,2026-01-15,100,115.6424426,TIPS,1.19919,F,F,YTM,TIPS INCOME ENGINE,0.0055,-764.4000
VPS,912810PS1,USTN TII 2.375% 1/15/27,2027-01-15,100,2.375,,F,,N,142.3311553,1,30,FUND 30,2014-12-01,-745.7400,88360.6900,11793559.5300,8286000.0000,3.3300,9779468.6400,2027-01-15,100,120.5950953,TIPS,1.18024,F,F,YTM,TIPS INCOME ENGINE,0.0061,-544.4600
VPS,912810PV4,USTN TII 1.75% 1/15/28,2028-01-15,100,1.75,,F,,N,129.2793372,1,30,FUND 30,2014-12-01,-587.6000,44444.7500,7596453.8500,5876000.0000,-99.1500,6675782.3600,2028-01-15,100,113.7912149,TIPS,1.13611,F,F,YTM,TIPS INCOME ENGINE,0.0065,-449.2800
VPS,912810PZ5,USTN TII 2.5% 1/15/29,2029-01-15,100,2.5,,F,,N,138.2286429,1,30,FUND 30,2014-12-01,-462.4200,54172.8100,7102187.6700,5138000.0000,-378.3100,5695884.0400,2029-01-15,100,124.689822,TIPS,1.10858,F,F,YTM,TIPS INCOME ENGINE,0.0067,-330.1600
VPS,912810QF8,USTN TII 2.125% 2/15/40,2040-02-15,100,2.125,,F,,N,140.60251,1,30,FUND 30,2014-12-01,-305.0100,23489.3700,4765019.0600,3389000.0000,-35.3400,3731932.9100,2040-02-15,100,127.6823346,TIPS,1.10119,F,F,YTM,TIPS INCOME ENGINE,0.0090,-185.8800
VPS,912810QP6,USTN TII 2.125% 2/15/41,2041-02-15,100,2.125,,F,,N,139.6633118,1,30,FUND 30,2014-12-01,-316.5600,27069.3200,5526477.2500,3957000.0000,-101.7200,4300705.0200,2041-02-15,100,128.5016578,TIPS,1.08686,F,F,YTM,TIPS INCOME ENGINE,0.0090,-177.5000
VPS,912810QV3,USTN TII 0.75% 2/15/42,2042-02-15,100,0.75,,F,,N,100.3464716,1,30,FUND 30,2014-12-01,-711.0000,18485.5100,7927371.2600,7900000.0000,-58.9600,8321307.0000,2042-02-15,100,95.26593907,TIPS,1.05333,F,F,YTM,TIPS INCOME ENGINE,0.0095,-501.8000
VPS,912810RA8,USTN TII 0.625 02/15/2043,2043-02-15,100,0.625,,F,,N,95.233289,1,30,FUND 30,2014-12-01,-414.0000,8815.6300,4380731.2900,4600000.0000,26.3800,4762058.0000,2043-02-15,100,91.99239686,TIPS,1.03523,F,F,YTM,TIPS INCOME ENGINE,0.0095,-298.2500
VPS,912810RF7,USTN TII 1.375% 02/15/44,2044-02-15,100,1.375,,F,,N,113.2000297,1,30,FUND 30,2014-12-01,-608.0000,31610.1900,8603202.2600,7600000.0000,-63.8500,7761500.0000,2044-02-15,100,110.8445823,TIPS,1.02125,F,F,YTM,TIPS INCOME ENGINE,0.0095,-380.3900
VPS,912828B25,USTN TII .625% 01/15/24,2024-01-15,100,0.625,,F,,N,103.7514004,1,30,FUND 30,2014-12-01,-420.0000,12733.4300,5446948.5200,5250000.0000,-45.3700,5355315.0000,2024-01-15,100,101.7110762,TIPS,1.02006,F,F,YTM,TIPS INCOME ENGINE,0.0043,-354.2600
VPS,912828ET3,USTN TII 2% 1/15/16,2016-01-15,100,2,,F,,N,123.0490728,1,30,FUND 30,2014-12-01,-588.5000,53696.3400,7241437.9300,5885000.0000,-686.7700,7057233.1500,2016-01-15,100,102.6101559,TIPS,1.19919,F,F,YTM,TIPS INCOME ENGINE,-0.0032,-653.2900
VPS,912828FL9,USTN TII 2.5% 7/15/16,2016-07-15,100,2.5,,F,,N,124.2186306,1,30,FUND 30,2014-12-01,-875.7900,109076.0500,12087714.9400,9731000.0000,-1002.5400,11468567.3600,2016-07-15,100,105.398648,TIPS,1.17856,F,F,YTM,TIPS INCOME ENGINE,-0.0080,-1146.6500
VPS,912828GD6,USTN TII 2.375% 1/15/17,2017-01-15,100,2.375,,F,,N,125.4284756,1,30,FUND 30,2014-12-01,-954.4500,113090.1600,13301689.8400,10605000.0000,-471.5400,12516445.2000,2017-01-15,100,106.2737033,TIPS,1.18024,F,F,YTM,TIPS INCOME ENGINE,-0.0056,-1162.9000
VPS,912828GX2,USTN TII 2.625% 7/15/17,2017-07-15,100,2.625,,F,,N,124.7098202,1,30,FUND 30,2014-12-01,-1152.3000,132149.1800,14370312.5800,11523000.0000,-1374.2700,13232897.9700,2017-07-15,100,108.5953554,TIPS,1.14839,F,F,YTM,TIPS INCOME ENGINE,-0.0062,-1402.4800
VPS,912828HN3,USTN TII 1.625% 1/15/18,2018-01-15,100,1.625,,F,,N,120.6335744,1,30,FUND 30,2014-12-01,-758.2000,53252.2200,9146437.6100,7582000.0000,-557.3300,8613986.0200,2018-01-15,100,106.1812451,TIPS,1.13611,F,F,YTM,TIPS INCOME ENGINE,-0.0034,-845.7100
VPS,912828JE1,USTN TII 1.375% 7/15/18,2018-07-15,100,1.375,,F,,N,117.35199,1,30,FUND 30,2014-12-01,-444.4200,28510.4900,5794841.2700,4938000.0000,-190.8300,5450317.5000,2018-07-15,100,106.3211687,TIPS,1.10375,F,F,YTM,TIPS INCOME ENGINE,-0.0036,-502.2100
VPS,912828JX9,USTN TII 2.125% 1/15/19,2019-01-15,100,2.125,,F,,N,121.2780765,1,30,FUND 30,2014-12-01,-142.2000,14160.0000,1916193.6100,1580000.0000,-133.7000,1751556.4000,2019-01-15,100,109.3994809,TIPS,1.10858,F,F,YTM,TIPS INCOME ENGINE,-0.0015,-150.1000
VPS,912828LA6,USTN TII 1.875% 7/15/19,2019-07-15,100,1.875,,F,,N,121.8702704,1,30,FUND 30,2014-12-01,-463.9500,40989.4500,6282412.4400,5155000.0000,-546.3300,5746330.0500,2019-07-15,100,109.3291263,TIPS,1.11471,F,F,YTM,TIPS INCOME ENGINE,-0.0014,-487.8900
VPS,912828MF4,USTN TII 1.375% 1/15/20,2020-01-15,100,1.375,,F,,N,117.6244159,1,30,FUND 30,2014-12-01,-754.9200,48293.7100,9866336.0100,8388000.0000,-458.7800,9232252.2000,2020-01-15,100,106.8681378,TIPS,1.10065,F,F,YTM,TIPS INCOME ENGINE,0.0003,-745.8600
VPS,912828NM8,USTN TII 1.25% 7/15/20,2020-07-15,100,1.25,,F,,N,116.6242473,1,30,FUND 30,2014-12-01,-1394.2800,80402.5300,18067428.3900,15492000.0000,-729.5900,16907504.0400,2020-07-15,100,106.8604115,TIPS,1.09137,F,F,YTM,TIPS INCOME ENGINE,0.0003,-1379.8100
VPS,912828PP9,USTN TII 1.125% 1/15/21,2021-01-15,100,1.125,,F,,N,115.06126,1,30,FUND 30,2014-12-01,-1716.7500,88826.4200,21947935.3500,19075000.0000,-592.4900,20754363.0000,2021-01-15,100,105.7509467,TIPS,1.08804,F,F,YTM,TIPS INCOME ENGINE,0.0018,-1606.5500
VPS,912828QD5,USTN TII 0.125% 4/15/16,2016-04-15,100,0.125,,F,,N,108.5119875,1,30,FUND 30,2014-12-01,-891.6300,1760.8700,10750282.6000,9907000.0000,-555.3600,10682619.0300,2016-04-15,100,100.6333987,TIPS,1.07829,F,F,YTM,TIPS INCOME ENGINE,-0.0034,-991.7200
VPS,912828QV5,USTN TII 0.625% 07/15/21,2021-07-15,100,0.625,,F,,N,108.7297984,1,30,FUND 30,2014-12-01,-957.6800,30058.4700,13016044.1700,11971000.0000,-204.3400,12641735.1300,2021-07-15,100,102.9608992,TIPS,1.05603,F,F,YTM,TIPS INCOME ENGINE,0.0018,-894.2300
VPS,912828SA9,USTN TII .125% 1/15/22,2022-01-15,100,0.125,,F,,N,103.9684537,1,30,FUND 30,2014-12-01,-1696.5000,9426.4500,19598053.5200,18850000.0000,-148.1800,19822471.5000,2022-01-15,100,98.86786076,TIPS,1.05159,F,F,YTM,TIPS INCOME ENGINE,0.0029,-1540.9000
VPS,912828SQ4,USTN TII .125% 4/15/17,2017-04-15,100,0.125,,F,,N,106.0762902,1,30,FUND 30,2014-12-01,-1244.0000,2685.9900,16494863.1300,15550000.0000,-568.5800,16295000.5000,2017-04-15,100,101.2265273,TIPS,1.04791,F,F,YTM,TIPS INCOME ENGINE,-0.0039,-1422.3300
